         t           |          x           |          y           |        x-real        |        y-real        |       x-error        |       y-error        | 
            0,171000 |            -0,185638 |              1,17122 |            -0,171835 |              1,18482 |           -0,0138029 |           -0,0136012 | 
            0,172000 |            -0,186809 |              1,17222 |            -0,172849 |              1,18598 |           -0,0139599 |           -0,0137568 | 
            0,173000 |            -0,187982 |              1,17323 |            -0,173864 |              1,18714 |           -0,0141177 |           -0,0139133 | 
            0,174000 |            -0,189156 |              1,17423 |            -0,174879 |              1,18830 |           -0,0142764 |           -0,0140705 | 
            0,175000 |            -0,190330 |              1,17523 |            -0,175895 |              1,18946 |           -0,0144358 |           -0,0142286 | 
            0,176000 |            -0,191506 |              1,17623 |            -0,176910 |              1,19062 |           -0,0145961 |           -0,0143876 | 
            0,177000 |            -0,192683 |              1,17724 |            -0,177926 |              1,19178 |           -0,0147572 |           -0,0145473 | 
            0,178000 |            -0,193861 |              1,17824 |            -0,178941 |              1,19295 |           -0,0149192 |           -0,0147079 | 
            0,179000 |            -0,195039 |              1,17924 |            -0,179957 |              1,19411 |           -0,0150820 |           -0,0148693 | 
            0,180000 |            -0,196219 |              1,18024 |            -0,180974 |              1,19527 |           -0,0152455 |           -0,0150315 | 
            0,181000 |            -0,197400 |              1,18124 |            -0,181990 |              1,19644 |           -0,0154100 |           -0,0151945 | 
            0,182000 |            -0,198582 |              1,18225 |            -0,183006 |              1,19760 |           -0,0155752 |           -0,0153583 | 
            0,183000 |            -0,199764 |              1,18325 |            -0,184023 |              1,19877 |           -0,0157412 |           -0,0155230 | 
            0,184000 |            -0,200948 |              1,18425 |            -0,185040 |              1,19994 |           -0,0159081 |           -0,0156885 | 
            0,185000 |            -0,202133 |              1,18525 |            -0,186057 |              1,20111 |           -0,0160758 |           -0,0158548 | 
            0,186000 |            -0,203319 |              1,18626 |            -0,187074 |              1,20228 |           -0,0162443 |           -0,0160219 | 
            0,187000 |            -0,204505 |              1,18726 |            -0,188092 |              1,20345 |           -0,0164136 |           -0,0161898 | 
            0,188000 |            -0,205693 |              1,18826 |            -0,189109 |              1,20462 |           -0,0165837 |           -0,0163586 | 
            0,189000 |            -0,206882 |              1,18926 |            -0,190127 |              1,20579 |           -0,0167547 |           -0,0165281 | 
            0,190000 |            -0,208072 |              1,19026 |            -0,191145 |              1,20696 |           -0,0169264 |           -0,0166985 | 
            0,191000 |            -0,209262 |              1,19127 |            -0,192163 |              1,20814 |           -0,0170990 |           -0,0168696 | 
            0,192000 |            -0,210454 |              1,19227 |            -0,193182 |              1,20931 |           -0,0172724 |           -0,0170416 | 
            0,193000 |            -0,211647 |              1,19327 |            -0,194200 |              1,21049 |           -0,0174466 |           -0,0172144 | 
            0,194000 |            -0,212841 |              1,19427 |            -0,195219 |              1,21166 |           -0,0176216 |           -0,0173880 | 
            0,195000 |            -0,214036 |              1,19528 |            -0,196238 |              1,21284 |           -0,0177974 |           -0,0175623 | 
            0,196000 |            -0,215231 |              1,19628 |            -0,197257 |              1,21402 |           -0,0179740 |           -0,0177375 | 
            0,197000 |            -0,216428 |              1,19728 |            -0,198277 |              1,21520 |           -0,0181514 |           -0,0179135 | 
            0,198000 |            -0,217626 |              1,19828 |            -0,199296 |              1,21637 |           -0,0183296 |           -0,0180903 | 
            0,199000 |            -0,218825 |              1,19929 |            -0,200316 |              1,21756 |           -0,0185086 |           -0,0182679 | 
            0,200000 |            -0,220024 |              1,20029 |            -0,201336 |              1,21874 |           -0,0186885 |           -0,0184463 | 
            0,201000 |            -0,221225 |              1,20129 |            -0,202356 |              1,21992 |           -0,0188691 |           -0,0186255 | 
            0,202000 |            -0,222427 |              1,20230 |            -0,203377 |              1,22110 |           -0,0190505 |           -0,0188055 | 
            0,203000 |            -0,223630 |              1,20330 |            -0,204397 |              1,22228 |           -0,0192327 |           -0,0189863 | 
            0,204000 |            -0,224834 |              1,20430 |            -0,205418 |              1,22347 |           -0,0194158 |           -0,0191679 | 
            0,205000 |            -0,226038 |              1,20530 |            -0,206439 |              1,22465 |           -0,0195996 |           -0,0193503 | 
            0,206000 |            -0,227244 |              1,20631 |            -0,207460 |              1,22584 |           -0,0197842 |           -0,0195335 | 
            0,207000 |            -0,228451 |              1,20731 |            -0,208481 |              1,22703 |           -0,0199696 |           -0,0197175 | 
            0,208000 |            -0,229659 |              1,20831 |            -0,209503 |              1,22821 |           -0,0201558 |           -0,0199022 | 
            0,209000 |            -0,230868 |              1,20931 |            -0,210525 |              1,22940 |           -0,0203428 |           -0,0200878 | 
            0,210000 |            -0,232078 |              1,21032 |            -0,211547 |              1,23059 |           -0,0205306 |           -0,0202741 | 
            0,211000 |            -0,233288 |              1,21132 |            -0,212569 |              1,23178 |           -0,0207192 |           -0,0204613 | 
            0,212000 |            -0,234500 |              1,21232 |            -0,213592 |              1,23297 |           -0,0209086 |           -0,0206492 | 
            0,213000 |            -0,235713 |              1,21333 |            -0,214614 |              1,23416 |           -0,0210987 |           -0,0208379 | 
            0,214000 |            -0,236927 |              1,21433 |            -0,215637 |              1,23536 |           -0,0212897 |           -0,0210274 | 
            0,215000 |            -0,238142 |              1,21533 |            -0,216660 |              1,23655 |           -0,0214814 |           -0,0212177 | 
            0,216000 |            -0,239357 |              1,21633 |            -0,217684 |              1,23774 |           -0,0216739 |           -0,0214087 | 
            0,217000 |            -0,240574 |              1,21734 |            -0,218707 |              1,23894 |           -0,0218672 |           -0,0216006 | 
            0,218000 |            -0,241792 |              1,21834 |            -0,219731 |              1,24013 |           -0,0220613 |           -0,0217932 | 
            0,219000 |            -0,243011 |              1,21934 |            -0,220755 |              1,24133 |           -0,0222562 |           -0,0219866 | 
            0,220000 |            -0,244231 |              1,22035 |            -0,221779 |              1,24253 |           -0,0224519 |           -0,0221808 | 
            0,221000 |            -0,245452 |              1,22135 |            -0,222803 |              1,24373 |           -0,0226483 |           -0,0223758 | 
            0,222000 |            -0,246674 |              1,22235 |            -0,223828 |              1,24492 |           -0,0228455 |           -0,0225715 | 
            0,223000 |            -0,247896 |              1,22336 |            -0,224853 |              1,24612 |           -0,0230435 |           -0,0227681 | 
            0,224000 |            -0,249120 |              1,22436 |            -0,225878 |              1,24732 |           -0,0232423 |           -0,0229654 | 
            0,225000 |            -0,250345 |              1,22536 |            -0,226903 |              1,24853 |           -0,0234419 |           -0,0231634 | 
            0,226000 |            -0,251571 |              1,22637 |            -0,227929 |              1,24973 |           -0,0236422 |           -0,0233623 | 
            0,227000 |            -0,252798 |              1,22737 |            -0,228955 |              1,25093 |           -0,0238433 |           -0,0235619 | 
            0,228000 |            -0,254026 |              1,22837 |            -0,229981 |              1,25213 |           -0,0240452 |           -0,0237623 | 
            0,229000 |            -0,255255 |              1,22938 |            -0,231007 |              1,25334 |           -0,0242479 |           -0,0239635 | 
            0,230000 |            -0,256484 |              1,23038 |            -0,232033 |              1,25454 |           -0,0244513 |           -0,0241654 | 
            0,231000 |            -0,257715 |              1,23138 |            -0,233060 |              1,25575 |           -0,0246555 |           -0,0243681 | 
            0,232000 |            -0,258947 |              1,23239 |            -0,234087 |              1,25696 |           -0,0248605 |           -0,0245716 | 
            0,233000 |            -0,260180 |              1,23339 |            -0,235114 |              1,25817 |           -0,0250662 |           -0,0247758 | 
            0,234000 |            -0,261414 |              1,23439 |            -0,236141 |              1,25937 |           -0,0252727 |           -0,0249809 | 
            0,235000 |            -0,262649 |              1,23540 |            -0,237169 |              1,26058 |           -0,0254800 |           -0,0251866 | 
